pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
2-methoxyestradiol,CQOQDQWUFQDJMK-SSTWWWIQSA-N,Phase 2,hypoxia inducible factor inhibitor,COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB,,
2-methyl-5-hydroxytryptamine,WYWNEDARFVJQSG-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR1B|HTR1D|HTR1E|HTR1F|HTR3A|HTR3B|HTR6,,
2-methyl-5-nitrophenol,UMFDLIXUUJMPSI-UHFFFAOYSA-N,Preclinical,,,,
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,Preclinical,cholesterol inhibitor,,,
2-octyldodecan-1-ol,LEACJMVNYZDSKR-FQEVSTJZSA-N,Preclinical,,,,
2-oleoylglycerol,UPWGQKDVAURUGE-KTKRTIGZSA-N,Phase 1,glucose dependent insulinotropic receptor ligand,GPR119,,
2-oxoglutaric-acid,KPGXRSRHYNQIFN-UHFFFAOYSA-N,Preclinical,,OXGR1,,
2-oxopropanoate,FEWFXBUNENSNBQ-UHFFFAOYSA-N,Preclinical,pyruvate dehydrogenase kinase inhibitor,ABAT,,
2-phenylmelatonin,OFCLARYYBGKCHN-UHFFFAOYSA-N,Preclinical,melatonin receptor agonist,MTNR1A|MTNR1B,,
2-PMDQ,ONSOQRPYFKDOEB-INIZCTEOSA-N,Preclinical,adrenergic receptor antagonist,ADRA1A,,
2-pyridylethylamine,XPQIPUZPSLAZDV-UHFFFAOYSA-N,Preclinical,histamine receptor agonist,HRH1,,
2-TEDC,KCGLTUBCAGZLHP-XYOKQWHBSA-N,Preclinical,lipoxygenase inhibitor,ALOX12,,
2-thiouracil,ZEMGGZBWXRYJHK-UHFFFAOYSA-N,Preclinical,,,,
"2,3-cis/exo-camphanediol",AYEOSGBMQHXVER-DQUBFYRCSA-N,Phase 1,,,,
"2,3-cis/exo-pinanediol",MOILFCKRQFQVFS-VUMZSGCYSA-N,Phase 1,,,,
"2,3-DCPE",QVEIRCZEBQRCTR-UHFFFAOYSA-N,Preclinical,BCL-XL downregulator,BCL2L1,,
"2,4-dinitrochlorobenzene",VYZAHLCBVHPDDF-UHFFFAOYSA-N,Phase 2,thioredoxin inhibitor,TXN,,
"2,4-dinitrophenol",UFBJCMHMOXMLKC-UHFFFAOYSA-N,Preclinical,ATP synthase inhibitor,APP,,
"2,5-furandimethanol",DSLRVRBSNLHVBH-UHFFFAOYSA-N,Phase 2,hemoglobin modulator,HBB,,
"2,6-dimethylpiperidine",SDGKUVSVPIIUCF-KNVOCYPGSA-N,Preclinical,,,,
2'-C-methylguanosine,NVKAMPJSWMHVDK-GITKWUPZSA-N,Preclinical,HCV inhibitor,,,
2'-MeCCPA,MMPAUXMIDJWGFO-ROMFRFKVSA-N,Preclinical,adenosine receptor agonist,ADORA1,,
20-HETE,NNDIXBJHNLFJJP-DTLRTWKJSA-N,Preclinical,ion channel antagonist,,,
20-hydroxyecdysone,NKDFYOWSKOHCCO-HMIIXLFTSA-N,Phase 2,ecdysone receptor modulator,,,
3-(4-methylbenzylidene)camphor,HEOCBCNFKCOKBX-LBONJMQPSA-N,Launched,endocrine disruptor,,dermatology,sunscreen lotion
3-alpha-bis-(4-fluorophenyl)-methoxytropane,MHNSOBBJZCWUGS-PMOLBWCYSA-N,Preclinical,dopamine uptake inhibitor,CHRM1|SLC6A2|SLC6A3|SLC6A4,,
3-alpha-hydroxy-5-beta-androstan-17-one,QGXBDMJGAMFCBF-BNSUEQOYSA-N,Preclinical,,HSD17B11|IGHG2|SULT2A1,,
3-amino-benzamide,GSCPDZHWVNUUFI-UHFFFAOYSA-N,Phase 2,PARP inhibitor,PARP1,,
3-anilinopropan-1-ol,GZYBSURBYCLNSM-UHFFFAOYSA-N,Preclinical,,,,
3-AQC,IDOXKFDPDOIUMG-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR3A,,
3-bromo-7-nitroindazole,NFSTZPMYAZRZPC-UHFFFAOYSA-N,Preclinical,nitric oxide synthase inhibitor,NOS1|NOS2|NOS3,,
3-bromocamphor,NJQADTYRAYFBJN-BYULHYEWSA-N,Launched,,,,
3-bromopyruvate,CHNJCELMWMIDSC-UHFFFAOYSA-N,Preclinical,hexokinase inhibitor,HK2,,
3-carboxy-4-hydroxyphenylglycine-(R),CHZBCZTXSTWCIG-SSDOTTSWSA-N,Preclinical,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C,,
3-carboxy-4-hydroxyphenylglycine-(S),CHZBCZTXSTWCIG-ZETCQYMHSA-N,Preclinical,glutamate receptor antagonist,GRM1|GRM5,,
3-CPMT,OCAXFDULERPAJM-IVAOSVALSA-N,Preclinical,dopamine reuptake inhibitor,,,
3-deazaadenosine,DBZQFUNLCALWDY-GPUHXXMPSA-N,Phase 2,adenosylhomocysteinase inhibitor,AHCY,,
3-deazaneplanocin-A,OMKHWTRUYNAGFG-IEBDPFPHSA-N,Preclinical,histone lysine methyltransferase inhibitor,EZH2,,
3-deazauridine,CBOKZNLSFMZJJA-PRQTWWFRSA-N,Preclinical,cytidine deaminase inhibitor,,,
3-hydroxy-3-phenylpentanamide,MOHYRCCDARWQRM-LLVKDONJSA-N,Phase 1,GABA receptor modulator,,,
3-indolebutyric-acid,JTEDVYBZBROSJT-UHFFFAOYSA-N,Preclinical,,B2M|HLA-A|TRAC|TRBC1,,
3-MATIDA,KOMWRBFEDDEWEP-RXMQYKEDSA-N,Preclinical,glutamate receptor antagonist,GRM1,,
3-methyl-GABA,CZGLBWZXGIAIBU-SCSAIBSYSA-N,Preclinical,GABA aminotransferase activator,ABAT,,
3-methyladenine,ZPBYVFQJHWLTFB-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,PI3,,
3-MPPI,AQASGOHUMGAWJJ-UHFFFAOYSA-N,Preclinical,adrenergic receptor ligand,ADRA1A,,
"3,3'-dichlorobenzaldazine",XMOVWXSCYLINBJ-BEQMOXJMSA-N,Preclinical,glutamate receptor modulator,GRM5,,
"3,3'-diindolylmethane",VFTRKSBEFQDZKX-UHFFFAOYSA-N,Phase 3,"CHK inhibitor|cytochrome P450 activator|indoleamine 2,3-dioxygenase inhibitor",AR|HIF1A|IFNG|PI3,,
"3,4-DCPG-(+/-)",IJVMOGKBEVRBPP-SSDOTTSWSA-N,Preclinical,glutamate receptor agonist,GRM8,,
"3,4-DCPG-(R)",IJVMOGKBEVRBPP-SSDOTTSWSA-N,Preclinical,glutamate receptor antagonist,,,
"3,4-DCPG-(S)",IJVMOGKBEVRBPP-ZETCQYMHSA-N,Preclinical,glutamate receptor agonist,GRM8,,
"3,4-methylenedioxy-beta-nitrostyrene",KFLWBZPSJQPRDD-ONEGZZNKSA-N,Preclinical,SRC inhibitor|SYK inhibitor,SRC|SYK,,
"3,5-DHPG-(S)",HOOWCUZPEFNHDT-ZETCQYMHSA-N,Preclinical,glutamate receptor agonist,GRM1,,
3'-fluorobenzylspiperone,DXZKTRNEOISOCA-UHFFFAOYSA-N,Preclinical,dopamine receptor ligand,DRD2,,
3PO,UOWGYMNWMDNSTL-ONEGZZNKSA-N,Preclinical,phosphofructokinase inhibitor,PFKFB3,,
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,FTJXZACAQRDRNT-UHFFFAOYSA-N,Preclinical,serotonin receptor antagonist,HTR2A,,
4-(aminomethyl)benzoic-acid,QCTBMLYLENLHLA-UHFFFAOYSA-N,Preclinical,hemostatic agent,,,
"4-acetyl-1,1-dimethylpiperazinium",MSBLMBWXUVQCDY-UHFFFAOYSA-N,Preclinical,acetylcholine receptor agonist,,,
4-aminohippuric-acid,HSMNQINEKMPTIC-UHFFFAOYSA-N,Launched,,SLC22A6,nephrology,renal diagnostic agent
4-carboxy-3-hydroxyphenylglycine-(RS),GXZSAQLJWLCLOX-SSDOTTSWSA-N,Preclinical,glutamate receptor agonist|glutamate receptor antagonist,GRM1,,
4-carboxy-3-hydroxyphenylglycine-(S),GXZSAQLJWLCLOX-ZETCQYMHSA-N,Preclinical,glutamate receptor agonist|glutamate receptor antagonist,GRM1|GRM2,,
4-chlorophenylguanidine,ZSJNJAJDBNFVCA-UHFFFAOYSA-N,Preclinical,urokinase inhibitor,PLAUR,,
4-CMTB,AZYDQCGCBQYFSE-GFCCVEGCSA-N,Preclinical,free fatty acid receptor agonist,FFAR2,,
4-DAMP,HYJRTXSYDAFGJK-UHFFFAOYSA-N,Preclinical,cholinergic receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,,
4-galactosyllactose,FYGDTMLNYKFZSV-QGAOIPDPSA-N,Preclinical,,,,
4-HQN,QMNUDYFKZYBWQX-UHFFFAOYSA-N,Preclinical,PARP inhibitor,PARP1,,
4-hydroxy-phenazone,SKVPTPMWXJSBTF-UHFFFAOYSA-N,Preclinical,,,,
4-IBP,HELCSESNNDZLFM-UHFFFAOYSA-N,Preclinical,sigma receptor agonist,SIGMAR1,,
4-iodo-6-phenylpyrimidine,ZTCJXHNJVLUUMR-UHFFFAOYSA-N,Preclinical,macrophage migration inhibiting factor inhibitor,MIF,,
4-iodo-L-phenylalanine,PZNQZSRPDOEBMS-MRVPVSSYSA-N,Preclinical,,DPP4,,
4-methylgenistein,WUADCCWRTIWANL-UHFFFAOYSA-N,Preclinical,protein tyrosine kinase inhibitor,CYP19A1|ESRRA|ESRRB|ESRRG|FASN,,
4-methylhistamine,UGYXPZQILZRKJJ-UHFFFAOYSA-N,Preclinical,histamine receptor agonist,HRH4,,
4-mu-8C,RTHHSXOVIJWFQP-UHFFFAOYSA-N,Preclinical,IRE1 inhibitor,ERN1,,
4-P-PDOT,RCYLUNPFECYGDW-AEFFLSMTSA-N,Preclinical,melatonin receptor antagonist,MTNR1A|MTNR1B,,
4-phenolsulfonic-acid,FEPBITJSIHRMRT-UHFFFAOYSA-N,Preclinical,,,,
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",OSZMNJRKIPAVOS-HNNXBMFYSA-N,Preclinical,dopamine release inhibitor,,,
4-PPBP,HQGDPZPNAXRCSA-UHFFFAOYSA-N,Preclinical,sigma receptor ligand,SIGMAR1,,
4-propylbenzoic-acid,ATZHGRNFEFVDDJ-UHFFFAOYSA-N,Preclinical,,,,
4-pyrimidinecarbonitrile,ZIEWSZYVEDTXGH-UHFFFAOYSA-N,Preclinical,,,,
4-tert-butylphenol,QHPQWRBYOIRBIT-UHFFFAOYSA-N,Preclinical,,,,
"4,4-pentamethylenepiperidine",LIZKZVQBLDHKCY-UHFFFAOYSA-N,Preclinical,M2 channel blocker,,,
"4,4'-DDT",YVGGHNCTFXOJCH-UHFFFAOYSA-N,Preclinical,,,,
"4,5,6,7-tetrabromobenzotriazole",OMZYUVOATZSGJY-UHFFFAOYSA-N,Preclinical,casein kinase inhibitor,AKT1|CHEK1|CSNK2A1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,,
4BP-TQS,YNCXHXYZTLIZTO-RLFYNMQTSA-N,Preclinical,nicotinic receptor agonist,CHRNA7,,
4E1RCat,BBQRBOIMSKMFFO-LTGZKZEYSA-N,Preclinical,protein synthesis inhibitor,EIF4E|EIF4G1,,
4EGI-1,KFRKRECSIYXARE-UHFFFAOYSA-N,Preclinical,protein synthesis inhibitor,EIF4E,,
4SC-202,PRXXYMVLYKJITB-IZZDOVSWSA-N,Phase 1,HDAC inhibitor,HDAC1,,
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",PXINDYJACXPZIN-UHFFFAOYSA-N,Preclinical,,,,
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",TZYVRXZQAWPIAB-FCLHUMLKSA-N,Preclinical,,TLR7,,
5-aminolevulinic-acid,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,Launched,oxidizing agent,ALAD,oncology|dermatology,glioma|actinic keratosis (AK)
5-BDBD,NKYMVQPXXTZHSF-UHFFFAOYSA-N,Preclinical,purinergic receptor antagonist,P2RX4,,
5-carboxamidotryptamine,WKZLNEWVIAGNAW-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7,,
5-fluoro-3-pyridyl-methanol,GGGJYJXAFSEWNM-UHFFFAOYSA-N,Preclinical,,,,
5-fluoropyrimidine,KSPDSMOWMQFPBL-UHFFFAOYSA-N,Phase 3,kinase inhibitor,,,
5-fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,Launched,thymidylate synthase inhibitor,DPYD|TYMS,oncology,colorectal cancer|breast cancer|pancreatic cancer|gastric adenocarcinoma
5-FP,HPABFFGQPLJKBP-UHFFFAOYSA-N,Phase 1,thymidylate synthase inhibitor,TYMS,,
5-HMF,NOEGNKMFWQHSLB-UHFFFAOYSA-N,Phase 2,,,,
5-hydroxydecanoic-acid,LMHJFKYQYDSOQO-SECBINFHSA-N,Preclinical,,,,
5-hydroxyectoine,KIIBBJKLKFTNQO-WHFBIAKZSA-N,Preclinical,,,,
5-hydroxymethyl-tolterodine,DUXZAXCGJSBGDW-HXUWFJFHSA-N,Phase 1,acetylcholine receptor antagonist,CHRM3,,
5-hydroxytryptophan,LDCYZAJDBXYCGN-VIFPVBQESA-N,Launched,neurotransmitter,SLC36A1|SLC36A2,neurology/psychiatry,insomnia
5-iodo-A-85380,RKVRGRXOYDTUEY-QMMMGPOBSA-N,Phase 2,acetylcholine receptor agonist,,,
5-methylfurmethiodide,KOWVJDFMEZKDDT-UHFFFAOYSA-N,Preclinical,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,,
5-methylhydantoin-(D),VMAQYKGITHDWKL-UWTATZPHSA-N,Preclinical,,,,
5-methylhydantoin-(L),VMAQYKGITHDWKL-REOHCLBHSA-N,Preclinical,,,,
5-octanoylsalicylic-acid,IXIGWKNBFPKCCD-UHFFFAOYSA-N,Preclinical,protein kinase activator,,,
"5,7-dichlorokynurenic-acid",BGKFPRIGXAVYNX-UHFFFAOYSA-N,Preclinical,glutamate receptor antagonist,GLRA2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,,
5'-chloro-5'-deoxy-ENBA-(+/-),PVJGDYDNVNCGBT-CYDCOVMPSA-N,Preclinical,adenosine receptor agonist,ADORA1,,
6-aminochrysene,KIVUHCNVDWYUNP-UHFFFAOYSA-N,Phase 2,transferase inhibitor,,,
6-aminopenicillanic-acid,NGHVIOIJCVXTGV-ALEPSDHESA-N,Preclinical,,,,
6-benzylaminopurine,NWBJYWHLCVSVIJ-UHFFFAOYSA-N,Preclinical,purinergic receptor activator,,,
6-chloromelatonin,LUINDDOUWHRIPW-UHFFFAOYSA-N,Preclinical,melatonin receptor agonist,MTNR1A|MTNR1B,,
6-diazo-5-oxo-L-norleucine,UUTYCZUIECRVAL-YFKPBYRVSA-O,Preclinical,glutamate receptor antagonist|glutaminase inhibitor,,,
6-iodo-nordihydrocapsaicin,AAORACFZMYMFCG-UHFFFAOYSA-N,Preclinical,TRPV antagonist,TRPV1,,
"6,7-dehydro-17-acetoxy-progesterone",URXWVWVPMJSAJD-KOORYGTMSA-N,Preclinical,steroidal progestin,,,
7-aminocephalosporanic-acid,HSHGZXNAXBPPDL-HZGVNTEJSA-N,Preclinical,beta lactamase inhibitor,,,
7-chlorokynurenic-acid,UAWVRVFHMOSAPU-UHFFFAOYSA-N,Preclinical,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C,,
7-hydroxy-DPAT,BLYMJBIZMIGWFK-HNNXBMFYSA-N,Preclinical,dopamine receptor agonist,DRD2|DRD3,,
7-hydroxy-PIPAT,RTMIJLQPWFKAFE-GZTQLTBSSA-N,Preclinical,dopamine receptor ligand,DRD3,,
7-hydroxystaurosporine,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,Phase 2,CDK inhibitor|CHK inhibitor|PKC inhibitor,CDK1|CHEK1|CHEK2|GSK3B|LCK|MAPK14|MARK1|MARK3|PDPK1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,,
7-keto-DHEA,VVSMJVQHDZUPIL-XFKPDKBWSA-N,Launched,steroid,,,
7-methoxytacrine,APQPVVOYBLOJDY-UHFFFAOYSA-N,Phase 2,acetylcholinesterase inhibitor,ACHE,,
7-methylxanthine,PFWLFWPASULGAN-UHFFFAOYSA-N,Phase 2,adenosine receptor antagonist,,,
7-nitroindazole,PQCAUHUKTBHUSA-UHFFFAOYSA-N,Preclinical,nitric oxide synthase inhibitor,NOS1|NOS2|NOS3,,
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",HBEJFHWHFIAMAI-UHFFFAOYSA-N,Preclinical,,,,
8-bromo-cAMP,DVKQVRZMKBDMDH-UUOKFMHZSA-N,Preclinical,PKA activator,,,
8-bromo-cGMP,YUFCOOWNNHGGOD-UMMCILCDSA-N,Preclinical,PKA activator,PRKG1,,
8-hydroxy-DPAT,ASXGJMSKWNBENU-AWEZNQCLSA-N,Preclinical,serotonin receptor agonist,HTR5A|HTR7,,
8-hydroxy-PIPAT,QBXHUZJZYDSLRH-MDDUGHTDSA-N,Preclinical,dopamine receptor ligand,DRD2|DRD3,,
8-M-PDOT,RVIGBTUDFAGRTQ-NSHDSACASA-N,Preclinical,melatonin receptor agonist,MTNR1A|MTNR1B,,
80841-78-7,QCLFSYYUWPUWQR-UHFFFAOYSA-N,Preclinical,,,,
9-aminoacridine,XJGFWWJLMVZSIG-UHFFFAOYSA-N,Preclinical,,,,
9-aminocamptothecin,FUXVKZWTXQUGMW-FQEVSTJZSA-N,Phase 2,topoisomerase inhibitor,TOP1,,
9-anthracenecarboxylic-acid,XGWFJBFNAQHLEF-UHFFFAOYSA-N,Preclinical,,ANO1|CLCN1,,
A-1070722,VQPBIJGXSXEOCU-UHFFFAOYSA-N,Preclinical,glycogen synthase kinase inhibitor,GSK3A|GSK3B,,
A-1120,MEAQCLPMSVEOQF-UHFFFAOYSA-N,Preclinical,retinoid receptor ligand,RBP4,,
A-1120,"InChI=1S/C20H19F3N2O3/c21-20(22,23)16-7-3-1-5-14(16)13-9-11-25(12-10-13)19(28)24-17-8-4-2-6-15(17)18(26)27/h1-8,13H,9-12H2,(H,24,28)(H,26,27)",Preclinical,retinoid receptor ligand,RBP4,,
A-317491,VQGBOYBIENNKMI-LJAQVGFWSA-N,Preclinical,purinergic receptor antagonist,P2RX3,,
